('Total Revenue', '198,270,000', '198,270,000', '168,088,000', '143,015,000', '125,843,000')
         450170 function calls (434968 primitive calls) in 2.204 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      108    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
    108/3    0.000    0.000    0.146    0.049 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
    108/3    0.000    0.000    0.146    0.049 <frozen importlib._bootstrap>:1002(_find_and_load)
      107    0.000    0.000    0.000    0.000 __init__.py:77(find_spec)
      107    0.000    0.000    0.000    0.000 _virtualenv.py:54(find_spec)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      107    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
      107    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      105    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      105    0.000    0.000    0.000    0.000 sre_compile.py:413(<listcomp>)
      105    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      102    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:406(has_location)
      102    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:486(_init_module_attrs)
      102    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:558(module_from_spec)
    102/4    0.000    0.000    0.145    0.036 <frozen importlib._bootstrap>:659(_load_unlocked)
       98    0.000    0.000    0.000    0.000 constant.py:336(<lambda>)
       98    0.001    0.000    0.002    0.000 sre_compile.py:492(_get_charset_prefix)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.abs}
       93    0.000    0.000    0.000    0.000 {built-in method builtins.all}
       91    0.000    0.000    0.000    0.000 typing.py:189(_collect_type_vars)
       90    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
       90    0.000    0.000    0.001    0.000 typing.py:672(__init__)
       90    0.000    0.000    0.001    0.000 typing.py:734(__init__)
       90    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
       90    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
       90    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
       87    0.000    0.000    0.000    0.000 {method 'items' of 'mappingproxy' objects}
       87    0.000    0.000    0.000    0.000 __init__.py:91(_replace_charref)
       87    0.000    0.000    0.000    0.000 typing.py:832(<genexpr>)
       86    0.000    0.000    0.000    0.000 enum.py:971(__or__)
       85    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1500(_get_spec)
       85    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
